07/09 04:31:37 PM | 
07/09 04:31:37 PM | Parameters:
07/09 04:31:37 PM | DATASET=Zm00001eb217470-train.csv
07/09 04:31:37 PM | GOT_CSV=./output/
07/09 04:31:37 PM | MODEL=MLP
07/09 04:31:37 PM | PATH=./output/Zm00001eb217470-train.csv_1_240709_16_31_37
07/09 04:31:37 PM | PROJECT_NAME=Zm00001eb217470-train.csv_1_240709_16_31_37
07/09 04:31:37 PM | SEED=1
07/09 04:31:37 PM | 
07/09 04:31:37 PM | Baseline：0.8897090159044031
07/09 04:31:37 PM | 总数据量：43788  train_len: 40854 test_len: 2934
07/09 04:31:37 PM | 总数据量：43788 train_len: 40854 test_len: 2934
07/09 04:37:28 PM | train_accuracy:0.8740147843540412
07/09 04:37:28 PM | test_accuracy:0.8258350374914792
07/09 04:37:28 PM | 运行时间 5分 51秒
